,Start,End
0,2022-10-18 14:34:10.938773,2022-10-18 14:34:12.355963
1,2022-10-18 14:34:12.438915,2022-10-18 14:34:13.197482
2,2022-10-18 14:34:14.295855,2022-10-18 14:34:14.360830
3,2022-10-18 14:34:14.414787,2022-10-18 14:34:15.303278
4,2022-10-18 14:34:15.335259,2022-10-18 14:34:15.604106
5,2022-10-18 14:34:19.143085,2022-10-18 14:34:19.191059
6,2022-10-18 14:34:21.063987,2022-10-18 14:34:21.346827
7,2022-10-18 14:34:21.432775,2022-10-18 14:34:21.500736
8,2022-10-18 14:34:21.646654,2022-10-18 14:34:27.733174
9,2022-10-18 14:34:30.263728,2022-10-18 14:34:30.472609
10,2022-10-18 14:34:30.630518,2022-10-18 14:34:33.525864
11,2022-10-18 14:34:33.731745,2022-10-18 14:34:33.811700
12,2022-10-18 14:34:33.848681,2022-10-18 14:34:33.878662
13,2022-10-18 14:34:33.911643,2022-10-18 14:34:33.943625
14,2022-10-18 14:34:33.973609,2022-10-18 14:34:34.005591
15,2022-10-18 14:34:34.083544,2022-10-18 14:34:34.115528
16,2022-10-18 14:34:34.249451,2022-10-18 14:34:34.661214
17,2022-10-18 14:34:34.727179,2022-10-18 14:34:34.758160
18,2022-10-18 14:34:34.789143,2022-10-18 14:34:38.039284
19,2022-10-18 14:34:38.196195,2022-10-18 14:34:38.886804
20,2022-10-18 14:34:39.126664,2022-10-18 14:34:41.445340
21,2022-10-18 14:34:41.655216,2022-10-18 14:34:41.687201
22,2022-10-18 14:34:42.164928,2022-10-18 14:34:42.806560
23,2022-10-18 14:34:43.349263,2022-10-18 14:34:43.495167
24,2022-10-18 14:34:43.560132,2022-10-18 14:34:43.957902
25,2022-10-18 14:34:44.439626,2022-10-18 14:34:44.709472
26,2022-10-18 14:34:45.066268,2022-10-18 14:34:45.137227
27,2022-10-18 14:34:45.192196,2022-10-18 14:34:45.224177
28,2022-10-18 14:34:46.211613,2022-10-18 14:34:46.694337
29,2022-10-18 14:34:46.759302,2022-10-18 14:34:48.669668
